  id  |            name             |          created_at           |          updated_at           
------+-----------------------------+-------------------------------+-------------------------------
 1041 | Swiss Cheese                | 2019-08-15 12:29:33.20749-06  | 2019-08-15 12:29:33.20749-06
 1051 | Sautéed Onions              | 2019-08-15 12:29:33.215152-06 | 2019-08-15 12:29:33.215152-06
 1061 | Beef Patty                  | 2019-08-15 12:29:33.220536-06 | 2019-08-15 12:29:33.220536-06
 1071 | Peppered Bacon              | 2019-08-15 12:29:33.225541-06 | 2019-08-15 12:29:33.225541-06
 1081 | Toasted Sesame Bun          | 2019-08-15 12:29:33.229847-06 | 2019-08-15 12:29:33.229847-06
 1091 | Sliced Tomatoes             | 2019-08-15 12:29:33.234399-06 | 2019-08-15 12:29:33.234399-06
 1101 | Cucumbers                   | 2019-08-15 12:29:33.238953-06 | 2019-08-15 12:29:33.238953-06
 1111 | Pepperoncini                | 2019-08-15 12:29:33.243509-06 | 2019-08-15 12:29:33.243509-06
 1121 | Fresh Dill                  | 2019-08-15 12:29:33.248798-06 | 2019-08-15 12:29:33.248798-06
 1131 | Asiago Cheese               | 2019-08-15 12:29:33.254838-06 | 2019-08-15 12:29:33.254838-06
 1140 | Fresh Swiss Cheese          | 2019-08-15 12:29:33.258737-06 | 2019-08-15 12:29:33.258737-06
 1150 | Beef Patty                  | 2019-08-15 12:29:33.263606-06 | 2019-08-15 12:29:33.263606-06
 1160 | Onion Rings                 | 2019-08-15 12:29:33.268547-06 | 2019-08-15 12:29:33.268547-06
 1170 | Beef Patty                  | 2019-08-15 12:29:33.272948-06 | 2019-08-15 12:29:33.272948-06
 1180 | Avocado                     | 2019-08-15 12:29:33.278826-06 | 2019-08-15 12:29:33.278826-06
 1190 | Onions                      | 2019-08-15 12:29:33.283013-06 | 2019-08-15 12:29:33.283013-06
 1200 | Halved Potato Roll          | 2019-08-15 12:29:33.286999-06 | 2019-08-15 12:29:33.286999-06
 1210 | Long Aged Cheddar Cheese    | 2019-08-15 12:29:33.2917-06   | 2019-08-15 12:29:33.2917-06
 1221 | Split Bratwurst             | 2019-08-15 12:29:33.29778-06  | 2019-08-15 12:29:33.29778-06
 1230 | Caramelized Onions          | 2019-08-15 12:29:33.30224-06  | 2019-08-15 12:29:33.30224-06
